t,cycle,arm,scenario,seed,route,action,wp_index,dist_to_wp_m,degraded,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,yaw_deg,has_collided,collision_object,min_obstacle_dist_m,latency_ms_json,slm_invoked,slm_latency_ms,slm_fallback,slm_timeout,slm_adherent,field_izquierda_occ,field_izquierda_ttc_s,field_izquierda_conf,field_izquierda_blocked,field_centro_occ,field_centro_ttc_s,field_centro_conf,field_centro_blocked,field_derecha_occ,field_derecha_ttc_s,field_derecha_conf,field_derecha_blocked
0.084,1,slm,TOWNSIM_CALIB_CRUCE_FRONTAL,1,reactive,MANTENER_RUMBO,0,11.619601007534671,False,0.0,0.0,-0.36828988790512085,,,,-60.0,False,,,"{""telemetry"": 0.8, ""graph"": 82.4}",False,,,,,0.0,,0.0,False,0.0,,0.0,False,0.0,,0.0,False
0.368,2,slm,TOWNSIM_CALIB_CRUCE_FRONTAL,1,reactive,MANTENER_RUMBO,0,11.621564558714406,False,0.0,0.0,-0.36197373270988464,,,,-59.84,False,,,"{""telemetry"": 0.7, ""graph"": 166.3}",False,,,,,0.0,51.83,1.0,False,0.0,33.63,1.0,False,0.002,5.47,1.0,False
0.504,3,slm,TOWNSIM_CALIB_CRUCE_FRONTAL,1,reactive,MANTENER_RUMBO,0,11.63376741235697,False,0.0,0.0,-0.3467417061328888,,,,-55.31,False,,,"{""telemetry"": 0.7, ""graph"": 101.6}",False,,,,,0.0,,0.0,False,0.0,,0.0,False,0.0,,0.0,False
0.707,4,slm,TOWNSIM_CALIB_CRUCE_FRONTAL,1,reactive,MANTENER_RUMBO,0,11.64150369411078,False,0.0,0.0,-0.3399437367916107,,,,-48.37,False,,,"{""telemetry"": 0.6, ""graph"": 104.7}",False,,,,,0.0,,0.0,False,0.0,,0.0,False,0.0,,0.0,False
0.9,5,slm,TOWNSIM_CALIB_CRUCE_FRONTAL,1,reactive,MANTENER_RUMBO,0,11.644786119113952,False,0.0,0.0,-0.3375648260116577,,,,-40.63,False,,,"{""telemetry"": 1.0, ""graph"": 96.8}",False,,,,,0.0,,0.0,False,0.0,,0.0,False,0.0,,0.0,False
1.093,6,slm,TOWNSIM_CALIB_CRUCE_FRONTAL,1,reactive,MANTENER_RUMBO,0,11.6454362349916,False,0.0,0.0,-0.3375961482524872,,,,-32.4,False,,,"{""telemetry"": 2.3, ""graph"": 88.3}",False,,,,,0.0,,0.0,False,0.0,,0.0,False,0.0,,0.0,False
1.295,7,slm,TOWNSIM_CALIB_CRUCE_FRONTAL,1,reactive,MANTENER_RUMBO,0,11.644561323443881,False,0.0,0.0,-0.33906102180480957,,,,-23.69,False,,,"{""telemetry"": 1.3, ""graph"": 91.3}",False,,,,,0.0,,0.0,False,0.0,,0.0,False,0.0,,0.0,False
1.5,8,slm,TOWNSIM_CALIB_CRUCE_FRONTAL,1,reactive,MANTENER_RUMBO,0,11.643481337580452,False,0.0,0.0,-0.33824217319488525,,,,-15.59,False,,,"{""telemetry"": 1.1, ""graph"": 95.8}",False,,,,,0.0,,0.0,False,0.0,,0.0,False,0.0,,0.0,False
1.705,9,slm,TOWNSIM_CALIB_CRUCE_FRONTAL,1,reactive,MANTENER_RUMBO,0,11.647229819987455,False,0.0,0.0,-0.33345311880111694,,,,-8.41,False,,,"{""telemetry"": 0.7, ""graph"": 101.0}",False,,,,,0.0,,0.0,False,0.0,,0.0,False,0.0,,0.0,False
1.909,10,slm,TOWNSIM_CALIB_CRUCE_FRONTAL,1,reactive,MANTENER_RUMBO,0,11.650648264567485,False,0.0,0.0,-0.3295856714248657,,,,-2.08,False,,,"{""telemetry"": 1.1, ""graph"": 103.6}",False,,,,,0.0,,0.0,False,0.0,,0.0,False,0.0,,0.0,False
2.127,11,slm,TOWNSIM_CALIB_CRUCE_FRONTAL,1,reactive,MANTENER_RUMBO,0,11.653486187752542,False,0.0,0.0,-0.326194703578949,,,,4.14,False,,,"{""telemetry"": 1.2, ""graph"": 121.3}",False,,,,,0.0,,0.0,False,0.0,,0.0,False,0.0,,0.0,False
2.294,12,slm,TOWNSIM_CALIB_CRUCE_FRONTAL,1,reactive,MANTENER_RUMBO,0,11.655829485565114,False,0.0,0.0,-0.323973149061203,,,,9.08,False,,,"{""telemetry"": 0.7, ""graph"": 87.9}",False,,,,,0.0,,0.0,False,0.0,,0.0,False,0.0,,0.0,False
2.496,13,slm,TOWNSIM_CALIB_CRUCE_FRONTAL,1,reactive,MANTENER_RUMBO,0,11.657806868035173,False,0.0,0.0,-0.32167312502861023,,,,14.53,False,,,"{""telemetry"": 1.2, ""graph"": 90.1}",False,,,,,0.0,,0.0,False,0.0,,0.0,False,0.0,,0.0,False
2.737,14,slm,TOWNSIM_CALIB_CRUCE_FRONTAL,1,reactive,MANTENER_RUMBO,0,11.659529637106912,False,0.0,0.0,-0.31941667199134827,,,,20.26,False,,,"{""telemetry"": 0.7, ""graph"": 130.9}",False,,,,,0.0,,0.0,False,0.0,,0.0,False,0.0,,0.0,False
2.927,15,slm,TOWNSIM_CALIB_CRUCE_FRONTAL,1,reactive,MANTENER_RUMBO,0,11.660959142853265,False,0.0,0.0,-0.3179421126842499,,,,24.93,False,,,"{""telemetry"": 0.7, ""graph"": 119.7}",False,,,,,0.0,,0.0,False,0.0,,0.0,False,0.0,,0.0,False
3.114,16,slm,TOWNSIM_CALIB_CRUCE_FRONTAL,1,reactive,MANTENER_RUMBO,0,11.662168158224683,False,0.0,0.0,-0.31663447618484497,,,,29.42,False,,,"{""telemetry"": 1.0, ""graph"": 106.1}",False,,,,,0.0,,0.0,False,0.0,,0.0,False,0.0,,0.0,False
3.313,17,slm,TOWNSIM_CALIB_CRUCE_FRONTAL,1,reactive,MANTENER_RUMBO,0,11.663249668875398,False,0.0,0.0,-0.315401554107666,,,,33.88,False,,,"{""telemetry"": 0.8, ""graph"": 105.0}",False,,,,,0.0,,0.0,False,0.0,,0.0,False,0.0,,0.0,False
3.506,18,slm,TOWNSIM_CALIB_CRUCE_FRONTAL,1,reactive,MANTENER_RUMBO,0,11.664216897912622,False,0.0,0.0,-0.3143157362937927,,,,37.73,False,,,"{""telemetry"": 0.7, ""graph"": 97.9}",False,,,,,0.0,,0.0,False,0.0,,0.0,False,0.0,,0.0,False
3.703,19,slm,TOWNSIM_CALIB_CRUCE_FRONTAL,1,reactive,MANTENER_RUMBO,0,11.665104478086612,False,0.0,0.0,-0.3133200407028198,,,,41.2,False,,,"{""telemetry"": 0.8, ""graph"": 94.1}",False,,,,,0.0,,0.0,False,0.0,,0.0,False,0.0,,0.0,False
3.9,20,slm,TOWNSIM_CALIB_CRUCE_FRONTAL,1,reactive,MANTENER_RUMBO,0,11.665907971374002,False,0.0,0.0,-0.31239837408065796,,,,44.37,False,,,"{""telemetry"": 1.1, ""graph"": 90.4}",False,,,,,0.0,,0.0,False,0.0,,0.0,False,0.0,,0.0,False
4.099,21,slm,TOWNSIM_CALIB_CRUCE_FRONTAL,1,reactive,MANTENER_RUMBO,0,11.666633284789683,False,0.0,0.0,-0.31156229972839355,,,,47.16,False,,,"{""telemetry"": 0.8, ""graph"": 88.8}",False,,,,,0.0,,0.0,False,0.0,,0.0,False,0.0,,0.0,False
4.292,22,slm,TOWNSIM_CALIB_CRUCE_FRONTAL,1,reactive,MANTENER_RUMBO,0,11.66730563093653,False,0.00010734601528383791,0.00012447332846932113,-0.31712836027145386,,,,49.73,False,,,"{""telemetry"": 0.8, ""graph"": 82.3}",False,,,,,0.0,,0.0,False,0.0,,0.0,False,0.0,,0.0,False
4.517,23,slm,TOWNSIM_CALIB_CRUCE_FRONTAL,1,reactive,MANTENER_RUMBO,0,11.604716447932459,False,0.011407682672142982,0.013239441439509392,-0.4184001088142395,,,,52.25,False,,,"{""telemetry"": 0.9, ""graph"": 106.3}",False,,,,,0.0,,0.0,False,0.0,,0.0,False,0.0,,0.0,False
4.715,24,slm,TOWNSIM_CALIB_CRUCE_FRONTAL,1,reactive,MANTENER_RUMBO,0,11.486184539156207,False,0.04505680501461029,0.0538552924990654,-0.567352831363678,,,,54.46,False,,,"{""telemetry"": 1.0, ""graph"": 104.2}",False,,,,,0.0,,0.0,False,0.0,,0.0,False,0.0,,0.0,False
4.937,25,slm,TOWNSIM_CALIB_CRUCE_FRONTAL,1,reactive,MANTENER_RUMBO,0,11.31859045523111,False,0.11549260467290878,0.14250865578651428,-0.7432644963264465,,,,56.87,False,,,"{""telemetry"": 0.9, ""graph"": 125.4}",False,,,,,0.0,,0.0,False,0.0,,0.0,False,0.0,,0.0,False
5.182,26,slm,TOWNSIM_CALIB_CRUCE_FRONTAL,1,deliberative,GANAR_ALTURA,0,11.129883706946503,False,0.19684097170829773,0.24980901181697845,-0.8921194672584534,,,,58.81,False,,,"{""telemetry"": 1.0, ""graph"": 170.0}",False,,,,,0.0,,0.127,False,0.0,,0.127,False,0.0,,0.127,False
5.323,27,slm,TOWNSIM_CALIB_CRUCE_FRONTAL,1,evasive,GANAR_ALTURA,0,10.910970128274066,False,0.31948378682136536,0.42016521096229553,-1.0652081966400146,,,,61.23,False,,,"{""telemetry"": 0.8, ""graph"": 110.3}",False,,,,,0.0,,0.0,False,0.0,,0.0,False,0.0,,0.0,False
5.526,28,slm,TOWNSIM_CALIB_CRUCE_FRONTAL,1,evasive,GANAR_ALTURA,0,10.734891008358806,False,0.44280457496643066,0.5947717428207397,-1.0826778411865234,,,,63.62,False,,,"{""telemetry"": 0.7, ""graph"": 113.3}",False,,,,,0.0,,0.0,False,0.0,,0.0,False,0.0,,0.0,False
5.716,29,slm,TOWNSIM_CALIB_CRUCE_FRONTAL,1,evasive,GANAR_ALTURA,0,10.68063176035515,False,0.5469561219215393,0.737106442451477,-1.0427342653274536,,,,65.9,False,,,"{""telemetry"": 0.8, ""graph"": 102.0}",False,,,,,0.0,,0.0,False,0.0,,0.0,False,0.0,,0.0,False
5.907,30,slm,TOWNSIM_CALIB_CRUCE_FRONTAL,1,evasive,GANAR_ALTURA,0,10.643966230871136,False,0.6377339363098145,0.8476181030273438,-1.0157376527786255,,,,68.26,False,,,"{""telemetry"": 1.3, ""graph"": 92.2}",False,,,,,0.0,,0.0,False,0.0,,0.0,False,0.0,,0.0,False
6.11,31,slm,TOWNSIM_CALIB_CRUCE_FRONTAL,1,evasive,GANAR_ALTURA,0,10.619855313032792,False,0.7181370258331299,0.9253110885620117,-0.9961096048355103,,,,70.74,False,,,"{""telemetry"": 0.9, ""graph"": 95.3}",False,,,,,0.0,,0.0,False,0.0,,0.0,False,0.0,,0.0,False
6.317,32,slm,TOWNSIM_CALIB_CRUCE_FRONTAL,1,evasive,GANAR_ALTURA,0,10.608888293835406,False,0.7877129912376404,0.9700461030006409,-0.9822338819503784,,,,73.22,False,,,"{""telemetry"": 0.9, ""graph"": 102.0}",False,,,,,0.0,,0.0,False,0.0,,0.0,False,0.0,,0.0,False
6.517,33,slm,TOWNSIM_CALIB_CRUCE_FRONTAL,1,evasive,GANAR_ALTURA,0,10.608274155660162,False,0.8494629263877869,0.9887892603874207,-0.9732105135917664,,,,75.69,False,,,"{""telemetry"": 0.8, ""graph"": 101.6}",False,,,,,0.0,,0.0,False,0.0,,0.0,False,0.0,,0.0,False
6.724,34,slm,TOWNSIM_CALIB_CRUCE_FRONTAL,1,evasive,GANAR_ALTURA,0,10.614929755768369,False,0.9059034585952759,0.9881475567817688,-0.9682690501213074,,,,78.2,False,,,"{""telemetry"": 1.2, ""graph"": 107.4}",False,,,,,0.0,,0.0,False,0.0,,0.0,False,0.0,,0.0,False
6.907,35,slm,TOWNSIM_CALIB_CRUCE_FRONTAL,1,reactive,MANTENER_RUMBO,0,10.626319699880913,False,0.9511449933052063,0.9761006236076355,-0.9666986465454102,,,,80.41,False,,,"{""telemetry"": 0.9, ""graph"": 90.5}",False,,,,,0.0,,0.0,False,0.0,,0.0,False,0.0,,0.0,False
7.122,36,slm,TOWNSIM_CALIB_CRUCE_FRONTAL,1,reactive,MANTENER_RUMBO,0,10.64144144360812,False,0.9997743368148804,0.9542122483253479,-0.9711917638778687,,,,82.62,False,,,"{""telemetry"": 0.7, ""graph"": 105.4}",False,,,,,0.0,,0.0,False,0.0,,0.0,False,0.0,,0.0,False
7.382,37,slm,TOWNSIM_CALIB_CRUCE_FRONTAL,1,girar_90,GIRAR_90,0,10.584054895839442,False,1.0409131050109863,0.9920521974563599,-1.1265947818756104,,,,84.19,False,,,"{""telemetry"": 0.8, ""graph"": 165.0}",False,,,,,0.06,0.46,0.402,True,0.159,0.5,0.402,True,0.13,0.84,0.402,True
7.599,38,slm,TOWNSIM_CALIB_CRUCE_FRONTAL,1,evasive,GIRAR_90,0,10.321388710790579,False,1.092572808265686,1.1531739234924316,-1.3989768028259277,,,,86.14,False,,,"{""telemetry"": 1.3, ""graph"": 181.4}",False,,,,,0.0,,0.044,False,0.0,,0.044,False,0.0,,0.044,False
7.713,39,slm,TOWNSIM_CALIB_CRUCE_FRONTAL,1,evasive,GIRAR_90,0,10.07347262852535,False,1.136364459991455,1.3198243379592896,-1.495591640472412,,,,88.66,False,,,"{""telemetry"": 0.7, ""graph"": 95.9}",False,,,,,0.0,,0.0,False,0.0,,0.0,False,0.0,,0.0,False
7.928,40,slm,TOWNSIM_CALIB_CRUCE_FRONTAL,1,evasive,GIRAR_90,0,9.969939560452733,False,1.1839603185653687,1.5104495286941528,-1.4852155447006226,,,,91.91,False,,,"{""telemetry"": 0.8, ""graph"": 110.4}",False,,,,,0.0,,0.0,False,0.0,,0.0,False,0.0,,0.0,False
8.104,41,slm,TOWNSIM_CALIB_CRUCE_FRONTAL,1,evasive,GIRAR_90,0,9.907424706620848,False,1.2146586179733276,1.6369558572769165,-1.4744571447372437,,,,94.51,False,,,"{""telemetry"": 0.7, ""graph"": 85.9}",False,,,,,0.0,,0.0,False,0.0,,0.0,False,0.0,,0.0,False
8.32,42,slm,TOWNSIM_CALIB_CRUCE_FRONTAL,1,evasive,GIRAR_90,0,9.859832234367317,False,1.243507981300354,1.7571202516555786,-1.4627747535705566,,,,97.63,False,,,"{""telemetry"": 1.1, ""graph"": 101.4}",False,,,,,0.0,,0.0,False,0.0,,0.0,False,0.0,,0.0,False
8.567,43,slm,TOWNSIM_CALIB_CRUCE_FRONTAL,1,reactive,MANTENER_RUMBO,0,9.826150513554264,False,1.268210530281067,1.8605575561523438,-1.4494209289550781,,,,101.3,False,,,"{""telemetry"": 1.3, ""graph"": 147.2}",False,,,,,0.0,,0.0,False,0.0,,0.0,False,0.0,,0.0,False
8.757,44,slm,TOWNSIM_CALIB_CRUCE_FRONTAL,1,reactive,MANTENER_RUMBO,0,9.802814130773417,False,1.2791967391967773,1.9076271057128906,-1.4454530477523804,,,,103.29,False,,,"{""telemetry"": 0.7, ""graph"": 137.5}",False,,,,,0.0,,0.0,False,0.0,,0.0,False,0.0,,0.0,False
8.985,45,slm,TOWNSIM_CALIB_CRUCE_FRONTAL,1,reactive,MANTENER_RUMBO,0,9.717849169631918,False,1.275964617729187,2.017939329147339,-1.591050386428833,,,,105.2,False,,,"{""telemetry"": 0.7, ""graph"": 165.5}",False,,,,,0.0,,0.103,False,0.0,,0.103,False,0.0,,0.103,False
9.191,46,slm,TOWNSIM_CALIB_CRUCE_FRONTAL,1,reactive,MANTENER_RUMBO,0,9.429300665063106,False,1.2412012815475464,2.235948324203491,-1.8549829721450806,,,,106.38,False,,,"{""telemetry"": 0.8, ""graph"": 170.1}",False,,,,,0.0,,0.004,False,0.0,,0.004,False,0.0,,0.004,False
9.362,47,slm,TOWNSIM_CALIB_CRUCE_FRONTAL,1,reactive,MANTENER_RUMBO,0,9.089636521629835,False,1.190048098564148,2.49595308303833,-2.06954288482666,,,,106.98,False,,,"{""telemetry"": 0.7, ""graph"": 141.1}",False,,,,,0.0,,0.0,False,0.0,,0.0,False,0.0,,0.0,False
9.599,48,slm,TOWNSIM_CALIB_CRUCE_FRONTAL,1,reactive,MANTENER_RUMBO,0,8.74108294716857,False,1.1096570491790771,2.8552560806274414,-2.286261558532715,,,,107.41,False,,,"{""telemetry"": 0.7, ""graph"": 177.8}",False,,,,,0.0,,0.0,False,0.0,,0.0,False,0.0,,0.0,False
9.791,49,slm,TOWNSIM_CALIB_CRUCE_FRONTAL,1,reactive,MANTENER_RUMBO,0,8.402430447503024,False,1.0073490142822266,3.2757811546325684,-2.484743595123291,,,,107.72,False,,,"{""telemetry"": 0.9, ""graph"": 168.4}",False,,,,,0.0,,0.0,False,0.0,,0.0,False,0.0,,0.0,False
9.964,50,slm,TOWNSIM_CALIB_CRUCE_FRONTAL,1,reactive,MANTENER_RUMBO,0,8.052189809722861,False,0.9066089987754822,3.6700291633605957,-2.6435189247131348,,,,107.93,False,,,"{""telemetry"": 1.0, ""graph"": 141.7}",False,,,,,0.0,,0.0,False,0.0,,0.0,False,0.0,,0.0,False
10.176,51,slm,TOWNSIM_CALIB_CRUCE_FRONTAL,1,reactive,MANTENER_RUMBO,0,7.7172718625978876,False,0.772892415523529,4.176604270935059,-2.826556921005249,,,,108.16,False,,,"{""telemetry"": 1.1, ""graph"": 152.7}",False,,,,,0.0,,0.0,False,0.0,,0.0,False,0.0,,0.0,False
10.368,52,slm,TOWNSIM_CALIB_CRUCE_FRONTAL,1,reactive,MANTENER_RUMBO,0,7.403728274222924,False,0.6455312967300415,4.648336887359619,-2.984555959701538,,,,108.35,False,,,"{""telemetry"": 0.9, ""graph"": 144.9}",False,,,,,0.0,,0.0,False,0.0,,0.0,False,0.0,,0.0,False
10.586,53,slm,TOWNSIM_CALIB_CRUCE_FRONTAL,1,deliberative,FRENAR,0,7.108873708753161,False,0.5012156963348389,5.174901962280273,-3.1523544788360596,,,,108.55,False,,,"{""telemetry"": 0.8, ""graph"": 162.5}",False,,,,,0.065,2.35,0.3,False,0.065,2.13,0.3,False,0.052,2.3,0.3,False
10.798,54,slm,TOWNSIM_CALIB_CRUCE_FRONTAL,1,deliberative,FRENAR,0,6.841023193472347,False,0.3518993854522705,5.713962554931641,-3.3076012134552,,,,108.78,False,,,"{""telemetry"": 0.8, ""graph"": 174.8}",False,,,,,0.0,,0.001,False,0.0,,0.001,False,0.0,,0.001,False
10.956,55,slm,TOWNSIM_CALIB_CRUCE_FRONTAL,1,deliberative,FRENAR,0,6.675103228624889,False,0.2326638251543045,6.14264440536499,-3.378507137298584,,,,108.94,False,,,"{""telemetry"": 0.7, ""graph"": 132.1}",False,,,,,0.0,,0.0,False,0.0,,0.0,False,0.0,,0.0,False
11.16,56,slm,TOWNSIM_CALIB_CRUCE_FRONTAL,1,deliberative,FRENAR,0,6.554062826078087,False,0.11855703592300415,6.552385330200195,-3.479457139968872,,,,108.99,False,,,"{""telemetry"": 0.9, ""graph"": 136.2}",False,,,,,0.0,,0.0,False,0.0,,0.0,False,0.0,,0.0,False
11.348,57,slm,TOWNSIM_CALIB_CRUCE_FRONTAL,1,deliberative,FRENAR,0,6.468853436936967,False,0.03006947785615921,6.870386123657227,-3.555448293685913,,,,108.98,False,,,"{""telemetry"": 0.8, ""graph"": 124.3}",False,,,,,0.0,,0.0,False,0.0,,0.0,False,0.0,,0.0,False
11.572,58,slm,TOWNSIM_CALIB_CRUCE_FRONTAL,1,deliberative,FRENAR,0,6.452209890032968,False,-0.0475473515689373,7.149750709533691,-3.5742852687835693,,,,108.96,False,,,"{""telemetry"": 0.8, ""graph"": 147.3}",False,,,,,0.0,,0.0,False,0.0,,0.0,False,0.0,,0.0,False
11.763,59,slm,TOWNSIM_CALIB_CRUCE_FRONTAL,1,deliberative,FRENAR,0,6.474509338873982,False,-0.09974989295005798,7.337953090667725,-3.568074941635132,,,,108.94,False,,,"{""telemetry"": 1.0, ""graph"": 137.8}",False,,,,,0.0,,0.0,False,0.0,,0.0,False,0.0,,0.0,False
11.963,60,slm,TOWNSIM_CALIB_CRUCE_FRONTAL,1,deliberative,FRENAR,0,6.5103116885130365,False,-0.1404888927936554,7.485019683837891,-3.5501840114593506,,,,108.93,False,,,"{""telemetry"": 0.8, ""graph"": 137.6}",False,,,,,0.0,,0.0,False,0.0,,0.0,False,0.0,,0.0,False
12.165,61,slm,TOWNSIM_CALIB_CRUCE_FRONTAL,1,deliberative,FRENAR,0,6.551737113013884,False,-0.1706576645374298,7.594034671783447,-3.526559591293335,,,,108.93,False,,,"{""telemetry"": 0.8, ""graph"": 139.6}",False,,,,,0.0,,0.0,False,0.0,,0.0,False,0.0,,0.0,False
12.365,62,slm,TOWNSIM_CALIB_CRUCE_FRONTAL,1,deliberative,FRENAR,0,6.5929521270713165,False,-0.19303371012210846,7.674946308135986,-3.500586986541748,,,,108.92,False,,,"{""telemetry"": 2.3, ""graph"": 137.0}",False,,,,,0.0,,0.0,False,0.0,,0.0,False,0.0,,0.0,False
12.571,63,slm,TOWNSIM_CALIB_CRUCE_FRONTAL,1,deliberative,MANTENER_RUMBO,0,6.632482581464967,False,-0.2101251780986786,7.736774921417236,-3.473198413848877,,,,108.92,False,,,"{""telemetry"": 0.9, ""graph"": 144.1}",True,1923.4,False,False,True,0.0,,0.0,False,0.0,,0.0,False,0.0,,0.0,False
12.767,64,slm,TOWNSIM_CALIB_CRUCE_FRONTAL,1,reactive,MANTENER_RUMBO,0,6.669588826338795,False,-0.22292864322662354,7.783101558685303,-3.447457790374756,,,,109.2,False,,,"{""telemetry"": 0.8, ""graph"": 139.6}",False,,,,,0.0,,0.0,False,0.0,,0.0,False,0.0,,0.0,False
12.921,65,slm,TOWNSIM_CALIB_CRUCE_FRONTAL,1,reactive,MANTENER_RUMBO,0,6.693957308155456,False,-0.23264726996421814,7.8178606033325195,-3.435194253921509,,,,113.31,False,,,"{""telemetry"": 1.2, ""graph"": 93.0}",False,,,,,0.0,,0.0,False,0.0,,0.0,False,0.0,,0.0,False
13.118,66,slm,TOWNSIM_CALIB_CRUCE_FRONTAL,1,reactive,MANTENER_RUMBO,0,6.707316148768326,False,-0.24022258818149567,7.8425798416137695,-3.4296672344207764,,,,119.91,False,,,"{""telemetry"": 1.4, ""graph"": 90.1}",False,,,,,0.0,,0.0,False,0.0,,0.0,False,0.0,,0.0,False
13.31,67,slm,TOWNSIM_CALIB_CRUCE_FRONTAL,1,reactive,MANTENER_RUMBO,0,6.714607562549038,False,-0.24702084064483643,7.859787464141846,-3.4277050495147705,,,,127.54,False,,,"{""telemetry"": 1.3, ""graph"": 81.3}",False,,,,,0.0,,0.0,False,0.0,,0.0,False,0.0,,0.0,False
13.52,68,slm,TOWNSIM_CALIB_CRUCE_FRONTAL,1,reactive,MANTENER_RUMBO,0,6.7179753503892545,False,-0.25440630316734314,7.871121883392334,-3.4279091358184814,,,,136.21,False,,,"{""telemetry"": 1.0, ""graph"": 91.2}",False,,,,,0.0,,0.0,False,0.0,,0.0,False,0.0,,0.0,False
13.718,69,slm,TOWNSIM_CALIB_CRUCE_FRONTAL,1,reactive,MANTENER_RUMBO,0,6.718488809416847,False,-0.26207461953163147,7.875535488128662,-3.4293766021728516,,,,144.87,False,,,"{""telemetry"": 1.5, ""graph"": 88.1}",False,,,,,0.0,,0.0,False,0.0,,0.0,False,0.0,,0.0,False
13.921,70,slm,TOWNSIM_CALIB_CRUCE_FRONTAL,1,reactive,MANTENER_RUMBO,0,6.716936173018623,False,-0.2700495421886444,7.8734564781188965,-3.4314911365509033,,,,153.77,False,,,"{""telemetry"": 0.9, ""graph"": 91.0}",False,,,,,0.0,,0.0,False,0.0,,0.0,False,0.0,,0.0,False
14.12,71,slm,TOWNSIM_CALIB_CRUCE_FRONTAL,1,reactive,MANTENER_RUMBO,0,6.713766078799112,False,-0.2772824764251709,7.86505126953125,-3.4338419437408447,,,,162.72,False,,,"{""telemetry"": 0.9, ""graph"": 89.5}",False,,,,,0.0,,0.0,False,0.0,,0.0,False,0.0,,0.0,False
14.367,72,slm,TOWNSIM_CALIB_CRUCE_FRONTAL,1,reactive,MANTENER_RUMBO,0,6.709314100831876,False,-0.28307414054870605,7.848177433013916,-3.4366302490234375,,,,173.3,False,,,"{""telemetry"": 0.8, ""graph"": 136.7}",False,,,,,0.0,,0.0,False,0.0,,0.0,False,0.0,,0.0,False
14.542,73,slm,TOWNSIM_CALIB_CRUCE_FRONTAL,1,reactive,MANTENER_RUMBO,0,6.703916694173201,False,-0.28437650203704834,7.832162380218506,-3.437481641769409,,,,-178.9,False,,,"{""telemetry"": 0.6, ""graph"": 111.5}",False,,,,,0.0,,0.0,False,0.0,,0.0,False,0.0,,0.0,False
14.735,74,slm,TOWNSIM_CALIB_CRUCE_FRONTAL,1,reactive,MANTENER_RUMBO,0,6.701802395316875,False,-0.2837102711200714,7.814676761627197,-3.4349050521850586,,,,-171.04,False,,,"{""telemetry"": 0.7, ""graph"": 103.9}",False,,,,,0.0,,0.0,False,0.0,,0.0,False,0.0,,0.0,False
14.932,75,slm,TOWNSIM_CALIB_CRUCE_FRONTAL,1,reactive,MANTENER_RUMBO,0,6.7009267373773405,False,-0.2825368642807007,7.800320148468018,-3.4327752590179443,,,,-164.41,False,,,"{""telemetry"": 0.8, ""graph"": 100.4}",False,,,,,0.0,,0.0,False,0.0,,0.0,False,0.0,,0.0,False
15.134,76,slm,TOWNSIM_CALIB_CRUCE_FRONTAL,1,reactive,MANTENER_RUMBO,0,6.70036058969513,False,-0.2814309597015381,7.788856029510498,-3.4308924674987793,,,,-158.44,False,,,"{""telemetry"": 0.9, ""graph"": 102.0}",False,,,,,0.0,,0.0,False,0.0,,0.0,False,0.0,,0.0,False
15.343,77,slm,TOWNSIM_CALIB_CRUCE_FRONTAL,1,reactive,MANTENER_RUMBO,0,6.700168923247159,False,-0.2805514931678772,7.7798590660095215,-3.4291560649871826,,,,-152.77,False,,,"{""telemetry"": 0.9, ""graph"": 110.9}",False,,,,,0.0,,0.0,False,0.0,,0.0,False,0.0,,0.0,False
15.554,78,slm,TOWNSIM_CALIB_CRUCE_FRONTAL,1,reactive,MANTENER_RUMBO,0,6.7002600849157465,False,-0.27997493743896484,7.773452281951904,-3.42768931388855,,,,-147.44,False,,,"{""telemetry"": 1.6, ""graph"": 120.4}",False,,,,,0.0,,0.0,False,0.0,,0.0,False,0.0,,0.0,False
15.754,79,slm,TOWNSIM_CALIB_CRUCE_FRONTAL,1,reactive,MANTENER_RUMBO,0,6.700548255627163,False,-0.2796376645565033,7.768965721130371,-3.426434278488159,,,,-142.44,False,,,"{""telemetry"": 0.8, ""graph"": 120.2}",False,,,,,0.0,,0.0,False,0.0,,0.0,False,0.0,,0.0,False
15.928,80,slm,TOWNSIM_CALIB_CRUCE_FRONTAL,1,reactive,MANTENER_RUMBO,0,6.700979863191245,False,-0.27947404980659485,7.7660980224609375,-3.425462484359741,,,,-138.33,False,,,"{""telemetry"": 0.7, ""graph"": 94.6}",False,,,,,0.0,,0.0,False,0.0,,0.0,False,0.0,,0.0,False
16.147,81,slm,TOWNSIM_CALIB_CRUCE_FRONTAL,1,reactive,MANTENER_RUMBO,0,6.70150150153645,False,-0.2793797552585602,7.763492107391357,-3.424342393875122,,,,-133.75,False,,,"{""telemetry"": 0.7, ""graph"": 113.1}",False,,,,,0.0,,0.0,False,0.0,,0.0,False,0.0,,0.0,False
16.35,82,slm,TOWNSIM_CALIB_CRUCE_FRONTAL,1,reactive,MANTENER_RUMBO,0,6.702068033511586,False,-0.27935677766799927,7.761775016784668,-3.4234302043914795,,,,-129.82,False,,,"{""telemetry"": 0.7, ""graph"": 115.6}",False,,,,,0.0,,0.0,False,0.0,,0.0,False,0.0,,0.0,False
